SLNO,Problem,Difficulty
1942,1942. The Number of the Smallest Unoccupied Chair,Med.
1943,1943. Describe the Painting,Med.
1944,1944. Number of Visible People in a Queue,Hard
1945,1945. Sum of Digits of String After Convert,Easy
1946,1946. Largest Number After Mutating Substring,Med.
1947,1947. Maximum Compatibility Score Sum,Med.
1948,1948. Delete Duplicate Folders in System,Hard
1949,1949. Strong Friendship,Med.
1950,1950. Maximum of Minimum Values in All Subarrays,Med.
1951,1951. All the Pairs With the Maximum Number of Common Followers,Med.
1952,1952. Three Divisors,Easy
1953,1953. Maximum Number of Weeks for Which You Can Work,Med.
1954,1954. Minimum Garden Perimeter to Collect Enough Apples,Med.
1955,1955. Count Number of Special Subsequences,Hard
1956,1956. Minimum Time For K Virus Variants to Spread,Hard
1957,1957. Delete Characters to Make Fancy String,Easy
1958,1958. Check if Move is Legal,Med.
1959,1959. Minimum Total Space Wasted With K Resizing Operations,Med.
1960,1960. Maximum Product of the Length of Two Palindromic Substrings,Hard
1961,1961. Check If String Is a Prefix of Array,Easy
1962,1962. Remove Stones to Minimize the Total,Med.
1963,1963. Minimum Number of Swaps to Make the String Balanced,Med.
1964,1964. Find the Longest Valid Obstacle Course at Each Position,Hard
1965,1965. Employees With Missing Information,Easy
1966,1966. Binary Searchable Numbers in an Unsorted Array,Med.
1967,1967. Number of Strings That Appear as Substrings in Word,Easy
1968,1968. Array With Elements Not Equal to Average of Neighbors,Med.
1969,1969. Minimum Non-Zero Product of the Array Elements,Med.
1970,1970. Last Day Where You Can Still Cross,Hard
1971,1971. Find if Path Exists in Graph,Easy
1972,1972. First and Last Call On the Same Day,Hard
1973,1973. Count Nodes Equal to Sum of Descendants,Med.
1974,1974. Minimum Time to Type Word Using Special Typewriter,Easy
1975,1975. Maximum Matrix Sum,Med.
1976,1976. Number of Ways to Arrive at Destination,Med.
1977,1977. Number of Ways to Separate Numbers,Hard
1978,1978. Employees Whose Manager Left the Company,Easy
1979,1979. Find Greatest Common Divisor of Array,Easy
1980,1980. Find Unique Binary String,Med.
1981,1981. Minimize the Difference Between Target and Chosen Elements,Med.
1982,1982. Find Array Given Subset Sums,Hard
1983,1983. Widest Pair of Indices With Equal Range Sum,Med.
1984,1984. Minimum Difference Between Highest and Lowest of K Scores,Easy
1985,1985. Find the Kth Largest Integer in the Array,Med.
1986,1986. Minimum Number of Work Sessions to Finish the Tasks,Med.
1987,1987. Number of Unique Good Subsequences,Hard
1988,1988. Find Cutoff Score for Each School,Med.
1989,1989. Maximum Number of People That Can Be Caught in Tag,Med.
1990,1990. Count the Number of Experiments,Med.
1991,1991. Find the Middle Index in Array,Easy
1992,1992. Find All Groups of Farmland,Med.
1993,1993. Operations on Tree,Med.
1994,1994. The Number of Good Subsets,Hard
1995,1995. Count Special Quadruplets,Easy
1996,1996. The Number of Weak Characters in the Game,Med.
1997,1997. First Day Where You Have Been in All the Rooms,Med.
1998,1998. GCD Sort of an Array,Hard
1999,1999. Smallest Greater Multiple Made of Two Digits,Med.
2000,2000. Reverse Prefix of Word,Easy
2001,2001. Number of Pairs of Interchangeable Rectangles,Med.
2002,2002. Maximum Product of the Length of Two Palindromic Subsequences,Med.
2003,2003. Smallest Missing Genetic Value in Each Subtree,Hard
2004,2004. The Number of Seniors and Juniors to Join the Company,Hard
2005,2005. Subtree Removal Game with Fibonacci Tree,Hard
2006,2006. Count Number of Pairs With Absolute Difference K,Easy
2007,2007. Find Original Array From Doubled Array,Med.
2008,2008. Maximum Earnings From Taxi,Med.
2009,2009. Minimum Number of Operations to Make Array Continuous,Hard
2010,2010. The Number of Seniors and Juniors to Join the Company II,Hard
2011,2011. Final Value of Variable After Performing Operations,Easy
2012,2012. Sum of Beauty in the Array,Med.
2013,2013. Detect Squares,Med.
2014,2014. Longest Subsequence Repeated k Times,Hard
2015,2015. Average Height of Buildings in Each Segment,Med.
2016,2016. Maximum Difference Between Increasing Elements,Easy
2017,2017. Grid Game,Med.
2018,2018. Check if Word Can Be Placed In Crossword,Med.
2019,2019. The Score of Students Solving Math Expression,Hard
2020,2020. Number of Accounts That Did Not Stream,Med.
2021,2021. Brightest Position on Street,Med.
2022,2022. Convert 1D Array Into 2D Array,Easy
2023,2023. Number of Pairs of Strings With Concatenation Equal to Target,Med.
2024,2024. Maximize the Confusion of an Exam,Med.
2025,2025. Maximum Number of Ways to Partition an Array,Hard
2026,2026. Low-Quality Problems,Easy
2027,2027. Minimum Moves to Convert String,Easy
2028,2028. Find Missing Observations,Med.
2029,2029. Stone Game IX,Med.
2030,2030. Smallest K-Length Subsequence With Occurrences of a Letter,Hard
2031,2031. Count Subarrays With More Ones Than Zeros,Med.
2032,2032. Two Out of Three,Easy
2033,2033. Minimum Operations to Make a Uni-Value Grid,Med.
2034,2034. Stock Price Fluctuation,Med.
2035,2035. Partition Array Into Two Arrays to Minimize Sum Difference,Hard
2036,2036. Maximum Alternating Subarray Sum,Med.
2037,2037. Minimum Number of Moves to Seat Everyone,Easy
2038,2038. Remove Colored Pieces if Both Neighbors are the Same Color,Med.
2039,2039. The Time When the Network Becomes Idle,Med.
2040,2040. Kth Smallest Product of Two Sorted Arrays,Hard
2041,2041. Accepted Candidates From the Interviews,Med.
2042,2042. Check if Numbers Are Ascending in a Sentence,Easy
2043,2043. Simple Bank System,Med.
2044,2044. Count Number of Maximum Bitwise-OR Subsets,Med.
2045,2045. Second Minimum Time to Reach Destination,Hard
2046,2046. Sort Linked List Already Sorted Using Absolute Values,Med.
2047,2047. Number of Valid Words in a Sentence,Easy
2048,2048. Next Greater Numerically Balanced Number,Med.
2049,2049. Count Nodes With the Highest Score,Med.
2050,2050. Parallel Courses III,Hard
2051,2051. The Category of Each Member in the Store,Med.
2052,2052. Minimum Cost to Separate Sentence Into Rows,Med.
2053,2053. Kth Distinct String in an Array,Easy
2054,2054. Two Best Non-Overlapping Events,Med.
2055,2055. Plates Between Candles,Med.
2056,2056. Number of Valid Move Combinations On Chessboard,Hard
2057,2057. Smallest Index With Equal Value,Easy
2058,2058. Find the Minimum and Maximum Number of Nodes Between Critical Points,Med.
2059,2059. Minimum Operations to Convert Number,Med.
2060,2060. Check if an Original String Exists Given Two Encoded Strings,Hard
2061,2061. Number of Spaces Cleaning Robot Cleaned,Med.
2062,2062. Count Vowel Substrings of a String,Easy
2063,2063. Vowels of All Substrings,Med.
2064,2064. Minimized Maximum of Products Distributed to Any Store,Med.
2065,2065. Maximum Path Quality of a Graph,Hard
2066,2066. Account Balance,Med.
2067,2067. Number of Equal Count Substrings,Med.
2068,2068. Check Whether Two Strings are Almost Equivalent,Easy
2069,2069. Walking Robot Simulation II,Med.
2070,2070. Most Beautiful Item for Each Query,Med.
2071,2071. Maximum Number of Tasks You Can Assign,Hard
2072,2072. The Winner University,Easy
2073,2073. Time Needed to Buy Tickets,Easy
2074,2074. Reverse Nodes in Even Length Groups,Med.
2075,2075. Decode the Slanted Ciphertext,Med.
2076,2076. Process Restricted Friend Requests,Hard
2077,2077. Paths in Maze That Lead to Same Room,Med.
2078,2078. Two Furthest Houses With Different Colors,Easy
2079,2079. Watering Plants,Med.
2080,2080. Range Frequency Queries,Med.
2081,2081. Sum of k-Mirror Numbers,Hard
2082,2082. The Number of Rich Customers,Easy
2083,2083. Substrings That Begin and End With the Same Letter,Med.
2084,2084. Drop Type 1 Orders for Customers With Type 0 Orders,Med.
2085,2085. Count Common Words With One Occurrence,Easy
2086,2086. Minimum Number of Food Buckets to Feed the Hamsters,Med.
2087,2087. Minimum Cost Homecoming of a Robot in a Grid,Med.
2088,2088. Count Fertile Pyramids in a Land,Hard
2089,2089. Find Target Indices After Sorting Array,Easy
2090,2090. K Radius Subarray Averages,Med.
2091,2091. Removing Minimum and Maximum From Array,Med.
2092,2092. Find All People With Secret,Hard
2093,2093. Minimum Cost to Reach City With Discounts,Med.
2094,2094. Finding 3-Digit Even Numbers,Easy
2095,2095. Delete the Middle Node of a Linked List,Med.
2096,2096. Step-By-Step Directions From a Binary Tree Node to Another,Med.
2097,2097. Valid Arrangement of Pairs,Hard
2098,2098. Subsequence of Size K With the Largest Even Sum,Med.
2099,2099. Find Subsequence of Length K With the Largest Sum,Easy
2100,2100. Find Good Days to Rob the Bank,Med.
2101,2101. Detonate the Maximum Bombs,Med.
2102,2102. Sequentially Ordinal Rank Tracker,Hard
2103,2103. Rings and Rods,Easy
2104,2104. Sum of Subarray Ranges,Med.
2105,2105. Watering Plants II,Med.
2106,2106. Maximum Fruits Harvested After at Most K Steps,Hard
2107,2107. Number of Unique Flavors After Sharing K Candies,Med.
2108,2108. Find First Palindromic String in the Array,Easy
2109,2109. Adding Spaces to a String,Med.
2110,2110. Number of Smooth Descent Periods of a Stock,Med.
2111,2111. Minimum Operations to Make the Array K-Increasing,Hard
2112,2112. The Airport With the Most Traffic,Med.
2113,2113. Elements in Array After Removing and Replacing Elements,Med.
2114,2114. Maximum Number of Words Found in Sentences,Easy
2115,2115. Find All Possible Recipes from Given Supplies,Med.
2116,2116. Check if a Parentheses String Can Be Valid,Med.
2117,2117. Abbreviating the Product of a Range,Hard
2118,2118. Build the Equation,Hard
2119,2119. A Number After a Double Reversal,Easy
2120,2120. Execution of All Suffix Instructions Staying in a Grid,Med.
2121,2121. Intervals Between Identical Elements,Med.
2122,2122. Recover the Original Array,Hard
2123,2123. Minimum Operations to Remove Adjacent Ones in Matrix,Hard
2124,2124. Check if All A's Appears Before All B's,Easy
2125,2125. Number of Laser Beams in a Bank,Med.
2126,2126. Destroying Asteroids,Med.
2127,2127. Maximum Employees to Be Invited to a Meeting,Hard
2128,2128. Remove All Ones With Row and Column Flips,Med.
2129,2129. Capitalize the Title,Easy
2130,2130. Maximum Twin Sum of a Linked List,Med.
2131,2131. Longest Palindrome by Concatenating Two Letter Words,Med.
2132,2132. Stamping the Grid,Hard
2133,2133. Check if Every Row and Column Contains All Numbers,Easy
2134,2134. Minimum Swaps to Group All 1's Together II,Med.
2135,2135. Count Words Obtained After Adding a Letter,Med.
2136,2136. Earliest Possible Day of Full Bloom,Hard
2137,2137. Pour Water Between Buckets to Make Water Levels Equal,Med.
2138,2138. Divide a String Into Groups of Size k,Easy
2139,2139. Minimum Moves to Reach Target Score,Med.
2140,2140. Solving Questions With Brainpower,Med.
2141,2141. Maximum Running Time of N Computers,Hard
2142,2142. The Number of Passengers in Each Bus I,Med.
2143,2143. Choose Numbers From Two Arrays in Range,Hard
2144,2144. Minimum Cost of Buying Candies With Discount,Easy
2145,2145. Count the Hidden Sequences,Med.
2146,2146. K Highest Ranked Items Within a Price Range,Med.
2147,2147. Number of Ways to Divide a Long Corridor,Hard
2148,2148. Count Elements With Strictly Smaller and Greater Elements,Easy
2149,2149. Rearrange Array Elements by Sign,Med.
2150,2150. Find All Lonely Numbers in the Array,Med.
2151,2151. Maximum Good People Based on Statements,Hard
2152,2152. Minimum Number of Lines to Cover Points,Med.
2153,2153. The Number of Passengers in Each Bus II,Hard
2154,2154. Keep Multiplying Found Values by Two,Easy
2155,2155. All Divisions With the Highest Score of a Binary Array,Med.
2156,2156. Find Substring With Given Hash Value,Hard
2157,2157. Groups of Strings,Hard
2158,2158. Amount of New Area Painted Each Day,Hard
2159,2159. Order Two Columns Independently,Med.
2160,2160. Minimum Sum of Four Digit Number After Splitting Digits,Easy
2161,2161. Partition Array According to Given Pivot,Med.
2162,2162. Minimum Cost to Set Cooking Time,Med.
2163,2163. Minimum Difference in Sums After Removal of Elements,Hard
2164,2164. Sort Even and Odd Indices Independently,Easy
2165,2165. Smallest Value of the Rearranged Number,Med.
2166,2166. Design Bitset,Med.
2167,2167. Minimum Time to Remove All Cars Containing Illegal Goods,Hard
2168,2168. Unique Substrings With Equal Digit Frequency,Med.
2169,2169. Count Operations to Obtain Zero,Easy
2170,2170. Minimum Operations to Make the Array Alternating,Med.
2171,2171. Removing Minimum Number of Magic Beans,Med.
2172,2172. Maximum AND Sum of Array,Hard
2173,2173. Longest Winning Streak,Hard
2174,2174. Remove All Ones With Row and Column Flips II,Med.
2175,2175. The Change in Global Rankings,Med.
2176,2176. Count Equal and Divisible Pairs in an Array,Easy
2177,2177. Find Three Consecutive Integers That Sum to a Given Number,Med.
2178,2178. Maximum Split of Positive Even Integers,Med.
2179,2179. Count Good Triplets in an Array,Hard
2180,2180. Count Integers With Even Digit Sum,Easy
2181,2181. Merge Nodes in Between Zeros,Med.
2182,2182. Construct String With Repeat Limit,Med.
2183,2183. Count Array Pairs Divisible by K,Hard
2184,2184. Number of Ways to Build Sturdy Brick Wall,Med.
2185,2185. Counting Words With a Given Prefix,Easy
2186,2186. Minimum Number of Steps to Make Two Strings Anagram II,Med.
2187,2187. Minimum Time to Complete Trips,Med.
2188,2188. Minimum Time to Finish the Race,Hard
2189,2189. Number of Ways to Build House of Cards,Med.
2190,2190. Most Frequent Number Following Key In an Array,Easy
2191,2191. Sort the Jumbled Numbers,Med.
2192,2192. All Ancestors of a Node in a Directed Acyclic Graph,Med.
2193,2193. Minimum Number of Moves to Make Palindrome,Hard
2194,2194. Cells in a Range on an Excel Sheet,Easy
2195,2195. Append K Integers With Minimal Sum,Med.
2196,2196. Create Binary Tree From Descriptions,Med.
2197,2197. Replace Non-Coprime Numbers in Array,Hard
2198,2198. Number of Single Divisor Triplets,Med.
2199,2199. Finding the Topic of Each Post,Hard
2200,2200. Find All K-Distant Indices in an Array,Easy
2201,2201. Count Artifacts That Can Be Extracted,Med.
2202,2202. Maximize the Topmost Element After K Moves,Med.
2203,2203. Minimum Weighted Subgraph With the Required Paths,Hard
2204,2204. Distance to a Cycle in Undirected Graph,Hard
2205,2205. The Number of Users That Are Eligible for Discount,Easy
2206,2206. Divide Array Into Equal Pairs,Easy
2207,2207. Maximize Number of Subsequences in a String,Med.
2208,2208. Minimum Operations to Halve Array Sum,Med.
2209,2209. Minimum White Tiles After Covering With Carpets,Hard
2210,2210. Count Hills and Valleys in an Array,Easy
2211,2211. Count Collisions on a Road,Med.
2212,2212. Maximum Points in an Archery Competition,Med.
2213,2213. Longest Substring of One Repeating Character,Hard
2214,2214. Minimum Health to Beat Game,Med.
2215,2215. Find the Difference of Two Arrays,Easy
2216,2216. Minimum Deletions to Make Array Beautiful,Med.
2217,2217. Find Palindrome With Fixed Length,Med.
2218,2218. Maximum Value of K Coins From Piles,Hard
2219,2219. Maximum Sum Score of Array,Med.
2220,2220. Minimum Bit Flips to Convert Number,Easy
2221,2221. Find Triangular Sum of an Array,Med.
2222,2222. Number of Ways to Select Buildings,Med.
2223,2223. Sum of Scores of Built Strings,Hard
2224,2224. Minimum Number of Operations to Convert Time,Easy
2225,2225. Find Players With Zero or One Losses,Med.
2226,2226. Maximum Candies Allocated to K Children,Med.
2227,2227. Encrypt and Decrypt Strings,Hard
2228,2228. Users With Two Purchases Within Seven Days,Med.
2229,2229. Check if an Array Is Consecutive,Easy
2230,2230. The Users That Are Eligible for Discount,Easy
2231,2231. Largest Number After Digit Swaps by Parity,Easy
2232,2232. Minimize Result by Adding Parentheses to Expression,Med.
2233,2233. Maximum Product After K Increments,Med.
2234,2234. Maximum Total Beauty of the Gardens,Hard
2235,2235. Add Two Integers,Easy
2236,2236. Root Equals Sum of Children,Easy
2237,2237. Count Positions on Street With Required Brightness,Med.
2238,2238. Number of Times a Driver Was a Passenger,Med.
2239,2239. Find Closest Number to Zero,Easy
2240,2240. Number of Ways to Buy Pens and Pencils,Med.
2241,2241. Design an ATM Machine,Med.
2242,2242. Maximum Score of a Node Sequence,Hard
2243,2243. Calculate Digit Sum of a String,Easy
2244,2244. Minimum Rounds to Complete All Tasks,Med.
2245,2245. Maximum Trailing Zeros in a Cornered Path,Med.
2246,2246. Longest Path With Different Adjacent Characters,Hard
2247,2247. Maximum Cost of Trip With K Highways,Hard
2248,2248. Intersection of Multiple Arrays,Easy
2249,2249. Count Lattice Points Inside a Circle,Med.
2250,2250. Count Number of Rectangles Containing Each Point,Med.
2251,2251. Number of Flowers in Full Bloom,Hard
2252,2252. Dynamic Pivoting of a Table,Hard
2253,2253. Dynamic Unpivoting of a Table,Hard
2254,2254. Design Video Sharing Platform,Hard
2255,2255. Count Prefixes of a Given String,Easy
2256,2256. Minimum Average Difference,Med.
2257,2257. Count Unguarded Cells in the Grid,Med.
2258,2258. Escape the Spreading Fire,Hard
2259,2259. Remove Digit From Number to Maximize Result,Easy
2260,2260. Minimum Consecutive Cards to Pick Up,Med.
2261,2261. K Divisible Elements Subarrays,Med.
2262,2262. Total Appeal of A String,Hard
2263,2263. Make Array Non-decreasing or Non-increasing,Hard
2264,2264. Largest 3-Same-Digit Number in String,Easy
2265,2265. Count Nodes Equal to Average of Subtree,Med.
2266,2266. Count Number of Texts,Med.
2267,2267. Check if There Is a Valid Parentheses String Path,Hard
2268,2268. Minimum Number of Keypresses,Med.
2269,2269. Find the K-Beauty of a Number,Easy
2270,2270. Number of Ways to Split Array,Med.
2271,2271. Maximum White Tiles Covered by a Carpet,Med.
2272,2272. Substring With Largest Variance,Hard
2273,2273. Find Resultant Array After Removing Anagrams,Easy
2274,2274. Maximum Consecutive Floors Without Special Floors,Med.
2275,2275. Largest Combination With Bitwise AND Greater Than Zero,Med.
2276,2276. Count Integers in Intervals,Hard
2277,2277. Closest Node to Path in Tree,Hard
2278,2278. Percentage of Letter in String,Easy
2279,2279. Maximum Bags With Full Capacity of Rocks,Med.
2280,2280. Minimum Lines to Represent a Line Chart,Med.
2281,2281. Sum of Total Strength of Wizards,Hard
2282,2282. Number of People That Can Be Seen in a Grid,Med.
2283,2283. Check if Number Has Equal Digit Count and Digit Value,Easy
2284,2284. Sender With Largest Word Count,Med.
2285,2285. Maximum Total Importance of Roads,Med.
2286,2286. Booking Concert Tickets in Groups,Hard
2287,2287. Rearrange Characters to Make Target String,Easy
2288,2288. Apply Discount to Prices,Med.
2289,2289. Steps to Make Array Non-decreasing,Med.
2290,2290. Minimum Obstacle Removal to Reach Corner,Hard
2291,2291. Maximum Profit From Trading Stocks,Med.
2292,2292. Products With Three or More Orders in Two Consecutive Years,Med.
2293,2293. Min Max Game,Easy
2294,2294. Partition Array Such That Maximum Difference Is K,Med.
2295,2295. Replace Elements in an Array,Med.
2296,2296. Design a Text Editor,Hard
2297,2297. Jump Game VIII,Med.
2298,2298. Tasks Count in the Weekend,Med.
2299,2299. Strong Password Checker II,Easy
2300,2300. Successful Pairs of Spells and Potions,Med.
2301,2301. Match Substring After Replacement,Hard
2302,2302. Count Subarrays With Score Less Than K,Hard
2303,2303. Calculate Amount Paid in Taxes,Easy
2304,2304. Minimum Path Cost in a Grid,Med.
2305,2305. Fair Distribution of Cookies,Med.
2306,2306. Naming a Company,Hard
2307,2307. Check for Contradictions in Equations,Hard
2308,2308. Arrange Table by Gender,Med.
2309,2309. Greatest English Letter in Upper and Lower Case,Easy
2310,2310. Sum of Numbers With Units Digit K,Med.
2311,2311. Longest Binary Subsequence Less Than or Equal to K,Med.
2312,2312. Selling Pieces of Wood,Hard
2313,2313. Minimum Flips in Binary Tree to Get Result,Hard
2314,2314. The First Day of the Maximum Recorded Degree in Each City,Med.
2315,2315. Count Asterisks,Easy
2316,2316. Count Unreachable Pairs of Nodes in an Undirected Graph,Med.
2317,2317. Maximum XOR After Operations,Med.
2318,2318. Number of Distinct Roll Sequences,Hard
2319,2319. Check if Matrix Is X-Matrix,Easy
2320,2320. Count Number of Ways to Place Houses,Med.
2321,2321. Maximum Score Of Spliced Array,Hard
2322,2322. Minimum Score After Removals on a Tree,Hard
2323,2323. Find Minimum Time to Finish All Jobs II,Med.
2324,2324. Product Sales Analysis IV,Med.
2325,2325. Decode the Message,Easy
2326,2326. Spiral Matrix IV,Med.
2327,2327. Number of People Aware of a Secret,Med.
2328,2328. Number of Increasing Paths in a Grid,Hard
2329,2329. Product Sales Analysis V,Easy
2330,2330. Valid Palindrome IV,Med.
2331,2331. Evaluate Boolean Binary Tree,Easy
2332,2332. The Latest Time to Catch a Bus,Med.
2333,2333. Minimum Sum of Squared Difference,Med.
2334,2334. Subarray With Elements Greater Than Varying Threshold,Hard
2335,2335. Minimum Amount of Time to Fill Cups,Easy
2336,2336. Smallest Number in Infinite Set,Med.
2337,2337. Move Pieces to Obtain a String,Med.
2338,2338. Count the Number of Ideal Arrays,Hard
2339,2339. All the Matches of the League,Easy
2340,2340. Minimum Adjacent Swaps to Make a Valid Array,Med.
2341,2341. Maximum Number of Pairs in Array,Easy
2342,2342. Max Sum of a Pair With Equal Sum of Digits,Med.
2343,2343. Query Kth Smallest Trimmed Number,Med.
2344,2344. Minimum Deletions to Make Array Divisible,Hard
2345,2345. Finding the Number of Visible Mountains,Med.
2346,2346. Compute the Rank as a Percentage,Med.
2347,2347. Best Poker Hand,Easy
2348,2348. Number of Zero-Filled Subarrays,Med.
2349,2349. Design a Number Container System,Med.
2350,2350. Shortest Impossible Sequence of Rolls,Hard
2351,2351. First Letter to Appear Twice,Easy
2352,2352. Equal Row and Column Pairs,Med.
2353,2353. Design a Food Rating System,Med.
2354,2354. Number of Excellent Pairs,Hard
2355,2355. Maximum Number of Books You Can Take,Hard
2356,2356. Number of Unique Subjects Taught by Each Teacher,Easy
2357,2357. Make Array Zero by Subtracting Equal Amounts,Easy
2358,2358. Maximum Number of Groups Entering a Competition,Med.
2359,2359. Find Closest Node to Given Two Nodes,Med.
2360,2360. Longest Cycle in a Graph,Hard
2361,2361. Minimum Costs Using the Train Line,Hard
2362,2362. Generate the Invoice,Hard
2363,2363. Merge Similar Items,Easy
2364,2364. Count Number of Bad Pairs,Med.
2365,2365. Task Scheduler II,Med.
2366,2366. Minimum Replacements to Sort the Array,Hard
2367,2367. Number of Arithmetic Triplets,Easy
2368,2368. Reachable Nodes With Restrictions,Med.
2369,2369. Check if There is a Valid Partition For The Array,Med.
2370,2370. Longest Ideal Subsequence,Med.
2371,2371. Minimize Maximum Value in a Grid,Hard
2372,2372. Calculate the Influence of Each Salesperson,Med.
2373,2373. Largest Local Values in a Matrix,Easy
2374,2374. Node With Highest Edge Score,Med.
2375,2375. Construct Smallest Number From DI String,Med.
2376,2376. Count Special Integers,Hard
2377,2377. Sort the Olympic Table,Easy
2378,2378. Choose Edges to Maximize Score in a Tree,Med.
2379,2379. Minimum Recolors to Get K Consecutive Black Blocks,Easy
2380,2380. Time Needed to Rearrange a Binary String,Med.
2381,2381. Shifting Letters II,Med.
2382,2382. Maximum Segment Sum After Removals,Hard
2383,2383. Minimum Hours of Training to Win a Competition,Easy
2384,2384. Largest Palindromic Number,Med.
2385,2385. Amount of Time for Binary Tree to Be Infected,Med.
2386,2386. Find the K-Sum of an Array,Hard
2387,2387. Median of a Row Wise Sorted Matrix,Med.
2388,2388. Change Null Values in a Table to the Previous Value,Med.
2389,2389. Longest Subsequence With Limited Sum,Easy
2390,2390. Removing Stars From a String,Med.
2391,2391. Minimum Amount of Time to Collect Garbage,Med.
2392,2392. Build a Matrix With Conditions,Hard
2393,2393. Count Strictly Increasing Subarrays,Med.
2394,2394. Employees With Deductions,Med.
2395,2395. Find Subarrays With Equal Sum,Easy
2396,2396. Strictly Palindromic Number,Med.
2397,2397. Maximum Rows Covered by Columns,Med.
2398,2398. Maximum Number of Robots Within Budget,Hard
2399,2399. Check Distances Between Same Letters,Easy
2400,2400. Number of Ways to Reach a Position After Exactly k Steps,Med.
2401,2401. Longest Nice Subarray,Med.
2402,2402. Meeting Rooms III,Hard
2403,2403. Minimum Time to Kill All Monsters,Hard
2404,2404. Most Frequent Even Element,Easy
2405,2405. Optimal Partition of String,Med.
2406,2406. Divide Intervals Into Minimum Number of Groups,Med.
2407,2407. Longest Increasing Subsequence II,Hard
2408,2408. Design SQL,Med.
2409,2409. Count Days Spent Together,Easy
2410,2410. Maximum Matching of Players With Trainers,Med.
2411,2411. Smallest Subarrays With Maximum Bitwise OR,Med.
2412,2412. Minimum Money Required Before Transactions,Hard
2413,2413. Smallest Even Multiple,Easy
2414,2414. Length of the Longest Alphabetical Continuous Substring,Med.
2415,2415. Reverse Odd Levels of Binary Tree,Med.
2416,2416. Sum of Prefix Scores of Strings,Hard
2417,2417. Closest Fair Integer,Med.
2418,2418. Sort the People,Easy
2419,2419. Longest Subarray With Maximum Bitwise AND,Med.
2420,2420. Find All Good Indices,Med.
2421,2421. Number of Good Paths,Hard
2422,2422. Merge Operations to Turn Array Into a Palindrome,Med.
2423,2423. Remove Letter To Equalize Frequency,Easy
2424,2424. Longest Uploaded Prefix,Med.
2425,2425. Bitwise XOR of All Pairings,Med.
2426,2426. Number of Pairs Satisfying Inequality,Hard
2427,2427. Number of Common Factors,Easy
2428,2428. Maximum Sum of an Hourglass,Med.
2429,2429. Minimize XOR,Med.
2430,2430. Maximum Deletions on a String,Hard
2431,2431. Maximize Total Tastiness of Purchased Fruits,Med.
2432,2432. The Employee That Worked on the Longest Task,Easy
2433,2433. Find The Original Array of Prefix Xor,Med.
2434,2434. Using a Robot to Print the Lexicographically Smallest String,Med.
2435,2435. Paths in Matrix Whose Sum Is Divisible by K,Hard
2436,2436. Minimum Split Into Subarrays With GCD Greater Than One,Med.
2437,2437. Number of Valid Clock Times,Easy
2438,2438. Range Product Queries of Powers,Med.
2439,2439. Minimize Maximum of Array,Med.
2440,2440. Create Components With Same Value,Hard
2441,2441. Largest Positive Integer That Exists With Its Negative,Easy
2442,2442. Count Number of Distinct Integers After Reverse Operations,Med.
2443,2443. Sum of Number and Its Reverse,Med.
2444,2444. Count Subarrays With Fixed Bounds,Hard
2445,2445. Number of Nodes With Value One,Med.
2446,2446. Determine if Two Events Have Conflict,Easy
2447,2447. Number of Subarrays With GCD Equal to K,Med.
2448,2448. Minimum Cost to Make Array Equal,Hard
2449,2449. Minimum Number of Operations to Make Arrays Similar,Hard
2450,2450. Number of Distinct Binary Strings After Applying Operations,Med.
2451,2451. Odd String Difference,Easy
2452,2452. Words Within Two Edits of Dictionary,Med.
2453,2453. Destroy Sequential Targets,Med.
2454,2454. Next Greater Element IV,Hard
2455,2455. Average Value of Even Numbers That Are Divisible by Three,Easy
2456,2456. Most Popular Video Creator,Med.
2457,2457. Minimum Addition to Make Integer Beautiful,Med.
2458,2458. Height of Binary Tree After Subtree Removal Queries,Hard
2459,2459. Sort Array by Moving Items to Empty Space,Hard
2460,2460. Apply Operations to an Array,Easy
2461,2461. Maximum Sum of Distinct Subarrays With Length K,Med.
2462,2462. Total Cost to Hire K Workers,Med.
2463,2463. Minimum Total Distance Traveled,Hard
2464,2464. Minimum Subarrays in a Valid Split,Med.
2465,2465. Number of Distinct Averages,Easy
2466,2466. Count Ways To Build Good Strings,Med.
2467,2467. Most Profitable Path in a Tree,Med.
2468,2468. Split Message Based on Limit,Hard
2469,2469. Convert the Temperature,Easy
2470,2470. Number of Subarrays With LCM Equal to K,Med.
2471,2471. Minimum Number of Operations to Sort a Binary Tree by Level,Med.
2472,2472. Maximum Number of Non-overlapping Palindrome Substrings,Hard
2473,2473. Minimum Cost to Buy Apples,Med.
2474,2474. Customers With Strictly Increasing Purchases,Hard
2475,2475. Number of Unequal Triplets in Array,Easy
2476,2476. Closest Nodes Queries in a Binary Search Tree,Med.
2477,2477. Minimum Fuel Cost to Report to the Capital,Med.
2478,2478. Number of Beautiful Partitions,Hard
2479,2479. Maximum XOR of Two Non-Overlapping Subtrees,Hard
2480,2480. Form a Chemical Bond,Easy
2481,2481. Minimum Cuts to Divide a Circle,Easy
2482,2482. Difference Between Ones and Zeros in Row and Column,Med.
2483,2483. Minimum Penalty for a Shop,Med.
2484,2484. Count Palindromic Subsequences,Hard
2485,2485. Find the Pivot Integer,Easy
2486,2486. Append Characters to String to Make Subsequence,Med.
2487,2487. Remove Nodes From Linked List,Med.
2488,2488. Count Subarrays With Median K,Hard
2489,2489. Number of Substrings With Fixed Ratio,Med.
